TIME,resid
1412616000,-0.970550585
1412616600,-4.377877818
1412617800,-9.714487131
1412618400,-6.225378003
1412619000,-3.774178228
1412619600,-4.370541302
1412620200,-3.533339581
1412620800,-5.746886192
1412621400,-0.402279246
1412622000,-0.096770002
1412622600,-1.48228821
1412623200,-1.171238104
1412623800,-0.900281837
1412624400,-2.511401447
1412625000,0.354819143
1412625600,-0.881250239
1412626200,-6.074765353
1412626800,-2.17607929
1412627400,4.001538561
1412628000,2.902237814
1412628600,-2.022474876
1412629200,-3.404269261
1412629800,-0.862656279
1412630400,4.93378053
1412631000,4.769783736
1412631600,2.974034753
1412632200,-1.186952848
1412632800,-0.015657052
1412633400,4.607985608
1412634000,3.453695105
1412634600,2.822621656
1412635200,3.524784302
1412635800,5.716763624
1412636400,5.732354124
1412637000,3.388559676
1412637600,2.07099009
1412638200,-0.764401449
1412638800,5.941431363
1412639400,7.815733419
1412640000,6.150447666
1412640600,7.338066079
1412641200,11.85928587
1412641800,10.21776293
1412642400,9.97985021
1412643000,9.290173583
1412643600,9.101918746
1412644200,6.907916126
1412644800,7.532440774
1412645400,6.658200083
1412646000,6.140418895
1412646600,5.491201161
1412647200,4.174834977
1412647800,5.30494071
1412648400,6.978668197
1412649000,2.127777418
1412649600,-2.216859441
1412650200,-2.875690179
1412650800,-5.879439516
1412651400,-12.58962498
1412652000,-17.44255668
1412652600,-22.09878122
1412653200,-25.50147258
1412653800,-24.92712019
1412654400,-23.86001291
1412655000,-22.80496755
1412655600,-23.29017408
1412656200,-23.05119023
1412656800,-24.98878335
1412657400,-22.22605703
1412658000,-21.50665328
1412658600,-22.17987103
1412659200,-22.50340199
1412659800,-22.41582086
1412660400,-21.03519683
1412661000,-22.13077543
1412661600,-23.80014997
1412662200,-22.30815988
1412662800,-22.87307543
1412663400,-24.16543394
1412664000,-26.60395525
1412664600,-28.09619102
1412665200,-28.61777298
1412665800,-28.28583259
1412666400,-28.38207095
1412667000,-26.92602347
1412667600,-27.0451739
1412668200,-27.73028261
1412668800,-25.16577834
1412669400,-28.14458352
1412670000,-16.81192362
1412670600,-10.75159871
1412671200,-17.73622976
1412671800,-14.37118503
1412672400,-5.490607046
1412673000,-4.945649688
1412673600,-4.143663723
1412674200,-7.154351733
1412674800,-16.49119911
1412675400,-12.07596261
1412676000,-13.23769968
1412676600,-5.238572782
1412677200,-8.548485925
1412677800,-12.10986253
1412678400,-11.73345614
1412679000,-1.639928957
1412679600,2.899165728
1412680200,6.297717978
1412680800,-1.463508806
1412681400,-3.294447679
1412682000,-4.64212912
1412682600,-9.333727725
1412683200,-9.647775044
1412683800,-7.186864813
1412684400,-5.738024635
1412685000,-8.095017578
1412685600,-4.728355963
1412686200,-4.313737424
1412686800,-5.647787419
1412687400,-7.724618336
1412688000,-5.606766617
1412688600,-9.195353854
1412689200,-8.224209891
1412689800,-2.937880928
1412690400,-1.036112077
1412691000,-4.260126831
1412691600,-0.715189321
1412692200,-4.630849733
1412692800,-4.212461051
1412693400,-3.88067544
1412694000,-6.273631748
1412694600,-3.394471883
1412695200,-3.949429869
1412695800,-6.045310034
1412696400,-1.899609996
1412697000,-4.411472797
1412697600,-9.424749545
1412698200,-7.446069983
1412698800,-1.376705177
1412699400,-0.539100634
1412700000,-3.034394433
1412700600,0.284502605
1412701200,-1.596230278
1412701800,-7.283251274
1412702400,-10.02566469
1412703000,-12.05771577
1412703600,-12.05930442
1412704200,-12.00832221
1412704800,-10.75206571
1412705400,-10.13033852
1412706000,-11.68337369
1412706600,-5.862224206
1412707200,-2.966043205
1412707800,-4.986505655
1412708400,-7.794268471
1412709000,-15.31046215
1412709600,-17.23723043
1412710200,-17.52447297
1412711400,-13.47111315
1412712000,-8.260503285
1412712600,-4.596301056
1412725200,0.65260964
1412727600,0.907378273
1412730000,3.030722046
1412739000,1.047083655
1412740200,-0.629329736
1412740800,-2.540637695
1412741400,3.785232156
1412742000,8.03189666
1412742600,9.054854753
1412743200,7.574342777
1412743800,7.222651267
1412744400,5.121380824
1412745000,3.192310675
1412745600,3.365567295
1412746200,3.092361595
1412746800,2.634859774
1412747400,0.909350976
1412748000,-1.486110172
1412748600,-10.16272982
1412749200,-3.999440676
1412749800,-7.389059867
1412750400,-5.543245654
1412751000,-3.863860768
1412751600,-8.08668713
1412752200,-4.895726333
1412752800,-2.868893309
1412753400,-4.873877183
1412754000,-1.66359669
1412754600,-5.786324985
1412755200,-6.261788359
1412755800,-3.930225577
1412756400,-6.971371773
1412757000,-6.703101162
1412757600,-2.519755298
1412758200,-4.126292054
1412758800,-0.046838451
1412759400,-2.928949042
1412760000,4.206533412
1412760600,8.010040553
1412761200,2.766561355
1412761800,5.559393482
1412762400,3.303875519
1412763000,4.662549038
1412763600,6.683667834
1412764200,3.007557861
1412764800,0.339348044
1412765400,9.15956093
1412766000,2.623869148
1412766600,4.813865227
1412767200,4.383056601
1412767800,-1.820239893
1412768400,-0.759634689
1412769000,-0.025646784
1412769600,1.890785989
1412770200,-2.655746314
1412770800,-9.675915257
1412771400,-3.937804243
1412772000,-10.34063992
1412772600,-6.093584917
1412773200,-0.404323009
1412773800,-1.034585148
1412774400,-4.042166184
1412775000,-3.174011593
1412775600,-4.375430501
1412776200,-1.412316407
1412776800,-0.658460425
1412777400,-2.916090476
1412778000,-3.702954318
1412778600,-3.906118744
1412779200,-5.889154148
1412779800,-0.66324867
1412780400,1.336545585
1412781000,0.369631306
1412781600,1.35154752
1412782200,0.936869758
1412782800,0.174434963
1412783400,3.907255005
1412784000,1.529102387
1412784600,2.312383955
1412785200,3.833061226
1412785800,4.272709798
1412786400,4.909965815
1412787000,7.433357222
1412788200,6.317707299
1412788800,10.26631265
1412789400,7.854111502
1412790000,10.67298066
1412790600,8.48844179
1412791200,4.816717079
1412791800,2.011517412
1412792400,1.527528741
1412793000,5.257104523
1412793600,7.768410569
1412794200,11.47971325
1412794800,11.3549596
1412795400,12.22240953
1412796000,14.71917703
1412796600,13.30500359
1412797200,13.52925107
1412797800,16.92618149
1412798400,15.16101001
1412799000,15.64567621
1412799600,12.18413271
1412800200,7.103063052
1412800800,1.815273086
1412801400,0.640773452
1412802000,4.813496112
1412802600,2.940702207
1412803200,4.213790788
1412803800,3.816607702
1412804400,2.317339035
1412805000,2.883607168
1412805600,2.21109397
1412806200,2.734712739
1412806800,1.574742648
1412807400,2.159116375
1412808000,3.378262276
1412808600,5.242609365
1412809200,1.567085067
1412809800,5.421835661
1412810400,2.407760762
1412811600,0.017545977
1412812200,-0.455481527
1412812800,0.805949778
1412813400,-0.388536413
1412814000,2.999555487
1412814600,4.026670949
1412815200,3.151337393
1412815800,6.100545514
1412816400,6.742438876
1412817000,4.46422359
1412817600,5.083967436
1412818200,3.3058661
1412818800,1.921286727
1412819400,0.529785099
1412820000,1.532153962
1412820600,0.53479769
1412821200,0.740074654
1412821800,0.583560542
1412822400,1.088091918
1412823000,2.868284428
1412823600,3.011188515
1412824200,5.025274213
1412824800,2.894028853
1412825400,3.930531941
1412826000,5.387022643
1412826600,2.812748481
1412827200,2.420872302
1412827800,2.0283318
1412828400,4.302385431
1412829000,-0.311485956
1412829600,-1.288127942
1412830200,0.313294747
1412830800,-2.181502405
1412831400,3.422114846
1412832000,-5.281650232
1412832600,-1.443781771
1412833200,-4.273586193
1412833800,-4.954143524
1412834400,-6.670441782
1412835000,-5.174635871
